State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Prayagraj,Jasra,Bottle gourd,Bottle Gourd,FAQ,26/01/2024,1160,1290,1225,82
Uttar Pradesh,Raebarelli,Jayas,Bottle gourd,Bottle Gourd,FAQ,26/01/2024,1420,1500,1440,82
Uttar Pradesh,Rampur,Rampur,Bottle gourd,Bottle Gourd,FAQ,26/01/2024,1650,1750,1700,82
Punjab,Fatehgarh,Sirhind,Bhindi(Ladies Finger),Other,FAQ,26/01/2024,6000,8000,6000,85
Punjab,Gurdaspur,Gurdaspur,Bhindi(Ladies Finger),Other,FAQ,26/01/2024,1800,2200,2000,85
Punjab,Hoshiarpur,Garh Shankar,Bhindi(Ladies Finger),Bhindi,FAQ,26/01/2024,4500,5500,5000,85
Uttar Pradesh,Sambhal,Muradabad,Bottle gourd,Bottle Gourd,FAQ,26/01/2024,1800,1840,1820,82
Maharashtra,Kolhapur,Vadgaonpeth,Tomato,Local,FAQ,26/01/2024,1000,1500,1200,78
Haryana,Mewat,Nuh,Green Chilli,Other,FAQ,26/01/2024,2000,2000,2000,87
Haryana,Panchkula,Raipur Rai,Green Chilli,Other,FAQ,26/01/2024,2000,2500,2000,87
Odisha,Bargarh,Sohela,Tomato,Other,FAQ,26/01/2024,500,700,600,78
Odisha,Bolangir,Kantabaji,Tomato,Other,FAQ,26/01/2024,1200,2000,1500,78
Karnataka,Kolar,Gowribidanoor,Green Chilli,Green Chilly,FAQ,26/01/2024,4000,5000,4500,87
Kerala,Alappuzha,Kayamkulam,Green Chilli,Other,FAQ,26/01/2024,6200,6400,6300,87
Uttar Pradesh,Raebarelli,Jayas,Banana - Green,Banana - Green,FAQ,26/01/2024,1640,1680,1650,90
Kerala,Kollam,Kottarakkara,Tomato,Other,FAQ,26/01/2024,4000,5000,4000,78
Kerala,Kottayam,Ettumanoor,Tomato,Tomato,FAQ,26/01/2024,3500,4000,3700,78
Kerala,Malappuram,Kottakkal,Beans,Other,FAQ,26/01/2024,5400,5500,5450,94
Uttar Pradesh,Kanpur Dehat,Jhijhank,Bottle gourd,Bottle Gourd,FAQ,26/01/2024,1200,1350,1280,82
Uttar Pradesh,Kanpur Dehat,Pukharayan,Bottle gourd,Bottle Gourd,FAQ,26/01/2024,860,900,885,82
Goa,North Goa,Mapusa,Green Chilli,Green Chilly,FAQ,26/01/2024,5000,5000,5000,87
Gujarat,Amreli,Damnagar,Green Chilli,Green Chilly,FAQ,26/01/2024,450,1050,800,87
Kerala,Palakad,Pattambi,Tomato,Other,FAQ,26/01/2024,2600,3000,2800,78
Uttar Pradesh,Shamli,Khandhla,Bottle gourd,Bottle Gourd,FAQ,26/01/2024,750,800,775,82
Haryana,Sonipat,Sonepat,Green Chilli,Other,FAQ,26/01/2024,3000,3500,3000,87
Himachal Pradesh,Hamirpur,Hamirpur,Green Chilli,Other,FAQ,26/01/2024,4800,5000,4900,87
Maharashtra,Sholapur,Akluj,Tomato,Local,FAQ,26/01/2024,1000,2200,1500,78
Maharashtra,Sholapur,Mangal Wedha,Tomato,Local,FAQ,26/01/2024,400,2000,1500,78
Maharashtra,Pune,Manchar,Bhindi(Ladies Finger),Other,FAQ,26/01/2024,1100,5050,3050,85
Maharashtra,Raigad,Panvel,Bhindi(Ladies Finger),Other,FAQ,26/01/2024,5000,5200,5100,85
Uttar Pradesh,Jaunpur,Mugrabaadshahpur,Bottle gourd,Bottle Gourd,FAQ,26/01/2024,1575,1775,1675,82
Uttar Pradesh,Shamli,Shamli,Banana - Green,Banana - Green,FAQ,26/01/2024,1850,1950,1900,90
Kerala,Kozhikode(Calicut),Quilandy,Tomato,Other,FAQ,26/01/2024,2400,2500,2400,78
Odisha,Bargarh,Bargarh,Bhindi(Ladies Finger),Other,FAQ,26/01/2024,2100,2300,2200,85
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,26/01/2024,1000,2750,2000,78
Rajasthan,Jodhpur,Jodhpur(F&V)(Paota),Bhindi(Ladies Finger),Other,FAQ,26/01/2024,2400,3300,3100,85
Uttar Pradesh,Unnao,Unnao,Bottle gourd,Bottle Gourd,FAQ,26/01/2024,1525,1600,1575,82
Maharashtra,Raigad,Pen,Tomato,Local,FAQ,26/01/2024,3400,3600,3400,78
Maharashtra,Ratnagiri,Ratnagiri (Nachane),Tomato,Other,FAQ,26/01/2024,2300,2600,2400,78
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Bhindi(Ladies Finger),Bhindi,FAQ,26/01/2024,5000,5000,5000,85
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi),Bhindi(Ladies Finger),Bhindi,FAQ,26/01/2024,2000,4500,3500,85
Karnataka,Kolar,Chintamani,Green Chilli,Green Chilly,FAQ,26/01/2024,2000,3500,3000,87
West Bengal,Medinipur(E),Kolaghat,Rice,Fine,FAQ,26/01/2024,3700,3900,3800,3
West Bengal,Medinipur(E),Tamluk (Medinipur E),Rice,Common,FAQ,26/01/2024,3400,3600,3500,3
Uttar Pradesh,Fatehpur,Bindki,Paddy(Dhan)(Common),Fine,FAQ,26/01/2024,2300,2800,2600,2
Uttar Pradesh,Fatehpur,Fatehpur,Paddy(Dhan)(Common),Common,FAQ,26/01/2024,2100,2200,2183,2
Uttar Pradesh,Fatehpur,Jahanabad,Paddy(Dhan)(Common),Paddy Coarse,FAQ,26/01/2024,2203,2210,2205,2
West Bengal,Murshidabad,Jangipur,Rice,Fine,FAQ,26/01/2024,3540,3585,3565,3
West Bengal,Murshidabad,Jiaganj,Rice,Fine,FAQ,26/01/2024,3500,3600,3550,3
West Bengal,Murshidabad,Kandi,Rice,Common,FAQ,26/01/2024,3400,3540,3470,3
Uttar Pradesh,Hardoi,Shahabad(New Mandi),Paddy(Dhan)(Common),Common,FAQ,26/01/2024,2050,2150,2100,2
West Bengal,Nadia,Ranaghat,Rice,Other,FAQ,26/01/2024,4500,4650,4600,3
Uttar Pradesh,Kanpur Dehat,Jhijhank,Paddy(Dhan)(Common),Common,FAQ,26/01/2024,2100,2250,2185,2
West Bengal,Puruliya,Kasipur,Rice,Other,FAQ,26/01/2024,3450,3600,3500,3
Uttar Pradesh,Sonbhadra,Robertsganj,Paddy(Dhan)(Common),Other,FAQ,26/01/2024,2140,2230,2183,2
Uttar Pradesh,Farukhabad,Mohamadabad,Apple,Apple,Medium,26/01/2024,6400,6600,6500,17
Kerala,Ernakulam,Broadway market,Pineapple,Other,Medium,26/01/2024,6000,7000,6200,21
Uttar Pradesh,Gautam Budh Nagar,Dadri,Apple,Kasmir/Shimla - II,Large,26/01/2024,6500,6900,6700,17
Uttar Pradesh,Ghaziabad,Hapur,Apple,Delicious,Medium,26/01/2024,6600,6900,6680,17
Kerala,Malappuram,Kondotty,Pineapple,Other,Medium,26/01/2024,5000,5200,5100,21
West Bengal,Purba Bardhaman,Guskara,Paddy(Dhan)(Common),Common,FAQ,26/01/2024,2173,2203,2183,2
West Bengal,Hooghly,Kalipur,Paddy(Dhan)(Common),Fine,FAQ,26/01/2024,2450,2550,2500,2
Madhya Pradesh,Dhar,Dhar,Wheat,Lokwan,FAQ,26/01/2024,2400,2500,2400,1
Uttar Pradesh,Kanpur,Varipaal,Paddy(Dhan)(Common),Fine,FAQ,26/01/2024,2300,2340,2320,2
Uttar Pradesh,Bulandshahar,Buland Shahr,Apple,Delicious,Medium,26/01/2024,6600,7000,6800,17
Madhya Pradesh,Harda,Sirali,Wheat,Mill Quality,FAQ,26/01/2024,2500,2560,2500,1
West Bengal,Uttar Dinajpur,Islampur,Rice,Fine,FAQ,26/01/2024,3900,4100,4000,3
West Bengal,Birbhum,Rampurhat,Paddy(Dhan)(Common),Fine,FAQ,26/01/2024,2180,2220,2200,2
Uttar Pradesh,Raebarelli,Jayas,Paddy(Dhan)(Common),Common,FAQ,26/01/2024,2100,2200,2125,2
Telangana,Hyderabad,Mahboob Manison,Green Chilli,Green Chilly,FAQ,26/01/2024,3500,4000,3750,87
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Green Chilli,Green Chilly,FAQ,26/01/2024,6000,6000,6000,87
Uttar Pradesh,Baghpat,Baraut,Tomato,Deshi,FAQ,26/01/2024,1300,1400,1350,78
Tripura,Dhalai,Chowmanu,Green Chilli,Green Chilly,FAQ,26/01/2024,6000,8000,7000,87
Uttar Pradesh,Ballia,Ballia,Tomato,Hybrid,FAQ,26/01/2024,1120,1240,1180,78
Uttar Pradesh,Balrampur,Tulsipur,Tomato,Deshi,FAQ,26/01/2024,1600,1670,1640,78
Tripura,Khowai,Bachaibari,Green Chilli,Green Chilly,FAQ,26/01/2024,4500,4800,4600,87
Uttar Pradesh,Etawah,Bharthna,Green Chilli,Green Chilly,FAQ,26/01/2024,2250,2450,2350,87
Uttar Pradesh,Jhansi,Mauranipur,Tomato,Local,FAQ,26/01/2024,1400,1500,1465,78
Uttar Pradesh,Kannuj,Kannauj,Tomato,Hybrid,FAQ,26/01/2024,1400,1500,1450,78
Kerala,Alappuzha,Chengannur,Amphophalus,Other,FAQ,26/01/2024,5900,6200,6000,102
Kerala,Alappuzha,Harippad,Amphophalus,Other,FAQ,26/01/2024,6000,6500,6000,102
Uttar Pradesh,Bulandshahar,Buland Shahr,Tomato,Deshi,FAQ,26/01/2024,1250,1500,1360,78
Uttar Pradesh,Aligarh,Khair,Green Chilli,Green Chilly,FAQ,26/01/2024,2500,2630,2580,87
Uttar Pradesh,Amethi,Jafarganj,Green Chilli,Green Chilly,FAQ,26/01/2024,2220,2300,2260,87
Uttar Pradesh,Amethi,Sultanpur,Green Chilli,Green Chilly,FAQ,26/01/2024,2200,2420,2300,87
Uttar Pradesh,Ayodhya,Rudauli,Green Chilli,Green Chilly,FAQ,26/01/2024,2240,2320,2280,87
Uttar Pradesh,Ballia,Ballia,Green Chilli,Green Chilly,FAQ,26/01/2024,2065,2190,2125,87
Uttar Pradesh,Firozabad,Firozabad,Tomato,Hybrid,FAQ,26/01/2024,1500,1700,1600,78
Uttar Pradesh,Firozabad,Sirsaganj,Tomato,Hybrid,FAQ,26/01/2024,300,500,400,78
Uttar Pradesh,Firozabad,Tundla,Tomato,Deshi,FAQ,26/01/2024,1185,1220,1200,78
Uttar Pradesh,Barabanki,Safdarganj,Green Chilli,Green Chilly,FAQ,26/01/2024,2200,2300,2250,87
Uttar Pradesh,Gonda,Nawabganj,Tomato,Hybrid,FAQ,26/01/2024,1640,1750,1680,78
Uttar Pradesh,Lucknow,Lucknow,Tomato,Deshi,FAQ,26/01/2024,1500,1600,1520,78
Uttar Pradesh,Bulandshahar,Anoop Shahar,Tomato,Deshi,FAQ,26/01/2024,2000,2400,2200,78
Uttar Pradesh,Fatehpur,Bindki,Tomato,Hybrid,FAQ,26/01/2024,1400,1500,1450,78
Uttar Pradesh,Fatehpur,Fatehpur,Tomato,Deshi,FAQ,26/01/2024,1100,1300,1200,78
Tripura,South District,Kalsi,Green Chilli,Other,FAQ,26/01/2024,10000,15000,12000,87
Kerala,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,26/01/2024,4900,5100,5000,102
West Bengal,Coochbehar,Mathabhanga,Green Chilli,Green Chilly,FAQ,26/01/2024,3400,3600,3500,87
West Bengal,Jalpaiguri,Dhupguri,Tomato,Other,FAQ,26/01/2024,2200,2400,2300,78
Kerala,Kottayam,Ettumanoor,Tapioca,Tapioca,FAQ,26/01/2024,2600,3000,2700,100
West Bengal,North 24 Parganas,Habra,Tomato,Other,FAQ,26/01/2024,1500,1700,1700,78
Kerala,Palakad,Pattambi,Tapioca,Other,FAQ,26/01/2024,2400,2600,2500,100
Uttar Pradesh,Raebarelli,Jayas,Green Chilli,Green Chilly,FAQ,26/01/2024,2080,2200,2100,87
Uttar Pradesh,Saharanpur,Chutmalpur,Green Chilli,Green Chilly,FAQ,26/01/2024,1750,1950,1850,87
Uttrakhand,Dehradoon,Rishikesh,Tomato,Other,FAQ,26/01/2024,2000,2400,2100,78
Uttar Pradesh,Shamli,Thanabhavan,Green Chilli,Green Chilly,FAQ,26/01/2024,2800,3000,2920,87
Uttrakhand,Garhwal (Pauri),Kotadwara,Tomato,Hybrid,FAQ,26/01/2024,1400,1800,1600,78
Kerala,Alappuzha,Madhavapuram,Amphophalus,Other,FAQ,26/01/2024,5000,5400,5200,102
Kerala,Idukki,Adimali,Amphophalus,Amphophalus,FAQ,26/01/2024,5000,6000,5000,102
Uttar Pradesh,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,26/01/2024,1120,1350,1220,78
Kerala,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,26/01/2024,5800,6200,6000,102
Uttar Pradesh,Kanpur Dehat,Jhijhank,Green Chilli,Green Chilly,FAQ,26/01/2024,2150,2350,2270,87
Uttar Pradesh,Unnao,Purwa,Green Chilli,Green Chilly,FAQ,26/01/2024,2250,2350,2300,87
Kerala,Ernakulam,Mazhuvannur VFPCK,Tapioca,Other,FAQ,26/01/2024,1700,1800,1800,100
West Bengal,Hooghly,Kalipur,Tomato,Deshi,FAQ,26/01/2024,1300,1500,1400,78
Uttar Pradesh,Rampur,Rampur,Tomato,Deshi,FAQ,26/01/2024,1600,1700,1650,78
Uttar Pradesh,Saharanpur,Saharanpur,Tomato,Hybrid,FAQ,26/01/2024,2000,2500,2200,78
Uttar Pradesh,Muzaffarnagar,Muzzafarnagar,Green Chilli,Green Chilly,FAQ,26/01/2024,2500,2660,2580,87
Kerala,Thiruvananthapuram,Aralamoodu,Amphophalus,Amphophalus,FAQ,26/01/2024,4000,4000,4000,102
Kerala,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,26/01/2024,4700,5300,5000,102
Uttar Pradesh,Unnao,Unnao,Green Chilli,Green Chilly,FAQ,26/01/2024,2225,2325,2275,87
West Bengal,Bankura,Indus(Bankura Sadar),Green Chilli,Green Chilly,FAQ,26/01/2024,5800,6200,6000,87
Kerala,Ernakulam,Koovapadi VFPCK,Tapioca,Tapioca,FAQ,26/01/2024,1600,2000,1800,100
Uttar Pradesh,Sambhal,Muradabad,Tomato,Deshi,FAQ,26/01/2024,1650,1700,1670,78
Uttar Pradesh,Shahjahanpur,Puwaha,Tomato,Hybrid,FAQ,26/01/2024,930,1130,1030,78
