State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Himachal Pradesh,Kangra,Kangra,Potato,Other,FAQ,26/03/2024,1400,1500,1400,24
Himachal Pradesh,Kullu,Bhuntar,Potato,Other,FAQ,26/03/2024,1200,1600,1400,24
Uttar Pradesh,Auraiya,Achalda,Banana,Banana - Ripe,Medium,26/03/2024,2700,2850,2800,19
Kerala,Alappuzha,Madhavapuram,Potato,Other,FAQ,26/03/2024,2200,2500,2400,24
Karnataka,Gadag,Gadag,Cummin Seed(Jeera),Other,FAQ,26/03/2024,11608,11608,11608,42
Rajasthan,Bikaner,Nokha,Cummin Seed(Jeera),Bold,FAQ,26/03/2024,18400,22000,20200,42
Kerala,Ernakulam,Perumbavoor,Potato,Potato,FAQ,26/03/2024,2500,3500,3000,24
Kerala,Ernakulam,Piravam,Potato,Other,FAQ,26/03/2024,3000,3800,3500,24
Maharashtra,Jalgaon,Chopada,Bajra(Pearl Millet/Cumbu),Other,FAQ,26/03/2024,2631,2631,2631,28
Maharashtra,Jalgaon,Pachora,Bajra(Pearl Millet/Cumbu),Other,FAQ,26/03/2024,2375,2635,2431,28
Karnataka,Davangere,Davangere,Potato,Potato,FAQ,26/03/2024,1400,2000,1600,24
Karnataka,Kalburgi,Kalburgi,Potato,Potato,FAQ,26/03/2024,1000,1200,1100,24
Karnataka,Kolar,Chintamani,Potato,Local,FAQ,26/03/2024,1500,2000,1800,24
Karnataka,Kolar,Kolar,Potato,Local,FAQ,26/03/2024,1500,2000,1700,24
Maharashtra,Nashik,Satana,Bajra(Pearl Millet/Cumbu),Other,FAQ,26/03/2024,2000,2790,2611,28
Uttar Pradesh,Ballia,Ballia,Banana,Banana - Ripe,Medium,26/03/2024,2800,2860,2830,19
Uttar Pradesh,Ballia,Chitwadagaon,Banana,Banana - Ripe,Medium,26/03/2024,2765,2870,2820,19
Jammu and Kashmir,Udhampur,Udhampur,Potato,Other,FAQ,26/03/2024,1100,1200,1150,24
Maharashtra,Beed,Beed,Bajra(Pearl Millet/Cumbu),Other,FAQ,26/03/2024,2300,3850,2630,28
Maharashtra,Chattrapati Sambhajinagar,Paithan,Bajra(Pearl Millet/Cumbu),Other,FAQ,26/03/2024,2651,2651,2651,28
Haryana,Sonipat,Sonepat(Kharkhoda),Potato,Other,FAQ,26/03/2024,500,1200,800,24
Tripura,North Tripura,Kadamtala,Banana,Champa,Medium,26/03/2024,1600,1800,1700,19
Haryana,Mahendragarh-Narnaul,Ateli,Bajra(Pearl Millet/Cumbu),Other,FAQ,26/03/2024,2310,2600,2600,28
Himachal Pradesh,Chamba,Chamba,Potato,Other,FAQ,26/03/2024,1500,2000,1750,24
Maharashtra,Dharashiv(Usmanabad),Paranda,Maize,Other,FAQ,26/03/2024,2230,2230,2230,4
Uttar Pradesh,Meerut,Meerut,Mustard,Sarson(Black),FAQ,26/03/2024,5550,5585,5570,12
Uttar Pradesh,Raebarelli,Raibareilly,Mustard,Sarson(Black),FAQ,26/03/2024,5525,5575,5550,12
Madhya Pradesh,Vidisha,Ganjbasoda,Paddy(Dhan)(Common),Paddy,FAQ,26/03/2024,1500,3661,3650,2
West Bengal,Medinipur(W),Medinipur(West),Bengal Gram(Gram)(Whole),Average (Whole),FAQ,26/03/2024,7500,8500,8000,6
Uttar Pradesh,Ballia,Ballia,Rice,III,FAQ,26/03/2024,2730,2790,2760,3
Pondicherry,Pondicherry,Thattanchavady,Paddy(Dhan)(Common),Other,FAQ,26/03/2024,1716,2044,1880,2
Tamil Nadu,Villupuram,Thirukovilur,Paddy(Dhan)(Common),Other,FAQ,26/03/2024,1869,2003,1869,2
Meghalaya,East Khasi Hills,Shillong,Orange,Orange,Large,26/03/2024,9950,11500,10500,18
Haryana,Sonipat,Gohana,Apple,Apple,Large,26/03/2024,8000,9000,8500,17
Maharashtra,Nagpur,Katol,Soyabean,Yellow,FAQ,26/03/2024,3700,4325,4150,13
Telangana,Karimnagar,Medipally,Maize,Deshi Red,FAQ,26/03/2024,2100,2100,2100,4
Uttar Pradesh,Jaunpur,Mugrabaadshahpur,Rice,Common,FAQ,26/03/2024,2670,2870,2770,3
Gujarat,Dahod,Dahod,Wheat,147 Average,FAQ,26/03/2024,2550,2700,2660,1
Uttar Pradesh,Kanpur Dehat,Jhijhank,Rice,III,FAQ,26/03/2024,2800,3050,2950,3
Uttar Pradesh,Lakhimpur,Golagokarnath,Rice,Common,FAQ,26/03/2024,2770,2970,2870,3
Gujarat,Kheda,Kapadvanj,Wheat,Other,FAQ,26/03/2024,2000,2225,2112,1
Karnataka,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,26/03/2024,4090,4390,4100,13
Chattisgarh,Kanker,Kanker,Paddy(Dhan)(Common),Paddy Coarse,FAQ,26/03/2024,1900,2100,2000,2
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),Other,FAQ,26/03/2024,1800,1800,1800,2
Madhya Pradesh,Alirajpur,Jobat,Soyabean,Soyabeen,FAQ,26/03/2024,4200,4350,4200,13
Madhya Pradesh,Bhopal,Bhopal,Soyabean,Soyabeen,FAQ,26/03/2024,4090,4090,4090,13
Maharashtra,Sholapur,Dudhani,Bengal Gram(Gram)(Whole),Other,FAQ,26/03/2024,4500,5800,5150,6
Chattisgarh,Kanker,Antagarh,Maize,Other,FAQ,26/03/2024,1800,1800,1800,4
Maharashtra,Yavatmal,Umarked(Danki),Bengal Gram(Gram)(Whole),Other,FAQ,26/03/2024,5300,5400,5350,6
Madhya Pradesh,Chhatarpur,Badamalhera,Soyabean,Soyabeen,FAQ,26/03/2024,4620,4640,4635,13
Uttar Pradesh,Ballia,Rasda,Green Gram (Moong)(Whole),Green (Whole),FAQ,26/03/2024,8750,8900,8820,9
Uttar Pradesh,Auraiya,Achalda,Rice,III,FAQ,26/03/2024,2850,3050,2950,3
Uttar Pradesh,Rampur,Rampur,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,26/03/2024,6720,6795,6750,6
