State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
West Bengal,Hooghly,Kalipur,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,26/05/2024,2800,3000,3000,303
Kerala,Thirssur,Wadakkanchery,Elephant Yam (Suran),Other,FAQ,26/05/2024,8000,8500,8500,296
Haryana,Faridabad,Faridabad,Sponge gourd,Other,FAQ,26/05/2024,1500,2500,2000,311
Haryana,Mahendragarh-Narnaul,Narnaul,Sponge gourd,Other,FAQ,26/05/2024,1000,1500,1300,311
Uttar Pradesh,Agra,Achnera,Sponge gourd,Sponge gourd,FAQ,26/05/2024,1050,1150,1100,311
Uttar Pradesh,Ghaziabad,Hapur,Sponge gourd,Sponge gourd,FAQ,26/05/2024,1550,1660,1600,311
Uttar Pradesh,Muzaffarnagar,Muzzafarnagar,Sponge gourd,Sponge gourd,FAQ,26/05/2024,1500,1650,1600,311
Odisha,Mayurbhanja,Baripada,Papaya (Raw),Other,FAQ,26/05/2024,2000,3000,2500,313
Uttar Pradesh,Shamli,Thanabhavan,Papaya (Raw),Papaya (Raw),FAQ,26/05/2024,1100,1300,1200,313
Uttar Pradesh,Raebarelli,Lalganj,Sponge gourd,Sponge gourd,FAQ,26/05/2024,800,900,850,311
Uttar Pradesh,Varanasi,Varanasi,Sponge gourd,Sponge gourd,FAQ,26/05/2024,800,890,850,311
Gujarat,Dahod,Dahod(Veg. Market),Pointed gourd (Parval),Other,FAQ,26/05/2024,5000,6000,5500,303
Odisha,Kendrapara,Kendrapara,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,26/05/2024,4000,5000,5000,303
Odisha,Sundergarh,Sargipali,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,26/05/2024,3500,4000,3700,303
Tripura,Dhalai,Kulai,Pointed gourd (Parval),Other,FAQ,26/05/2024,5000,6000,5500,303
Uttar Pradesh,Gonda,Nawabganj,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,26/05/2024,2650,2750,2700,303
Maharashtra,Pune,Junnar(Otur),Little gourd (Kundru),Other,FAQ,26/05/2024,1000,4000,3000,302
Telangana,Hyderabad,Erragadda(Rythu Bazar),Yam (Ratalu),Other,FAQ,26/05/2024,6500,6500,6500,297
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Yam (Ratalu),Other,FAQ,26/05/2024,6500,6500,6500,297
Odisha,Nuapada,Khariar,Little gourd (Kundru),Little gourd (Kundru),FAQ,26/05/2024,3000,4000,4000,302
Haryana,Mahendragarh-Narnaul,Mohindergarh,Long Melon(Kakri),Other,FAQ,26/05/2024,1000,1000,1000,304
Haryana,Mahendragarh-Narnaul,Narnaul,Long Melon(Kakri),Other,FAQ,26/05/2024,800,1000,1000,304
Punjab,Nawanshahr,Banga,Long Melon(Kakri),Other,FAQ,26/05/2024,1500,1700,1700,304
Punjab,Mansa,Mansa,Peas cod,Peas cod,FAQ,26/05/2024,4000,6000,5000,308
Rajasthan,Jodhpur,Bhagat Ki Kothi,Guar Seed(Cluster Beans Seed),Other,FAQ,26/05/2024,5100,5300,5200,413
Uttar Pradesh,Banda,Banda,White Peas,White Peas,FAQ,26/05/2024,4100,4250,4200,412
Uttar Pradesh,Jalaun (Orai),Orai,White Peas,White Peas,FAQ,26/05/2024,4200,4300,4250,412
Uttar Pradesh,Agra,Achnera,Paddy(Dhan)(Basmati),Basmati 1509,FAQ,26/05/2024,3560,3560,3560,414
Rajasthan,Jodhpur,Jodhpur(F&V)(Paota),Marigold(loose),Other,FAQ,26/05/2024,2000,2800,2400,405
West Bengal,Medinipur(E),Kolaghat,Tube Rose(Loose),Tube Rose (Loose),FAQ,26/05/2024,14000,16000,15000,408
Karnataka,Kolar,Kolar,Raddish,Raddish,FAQ,26/05/2024,1000,1200,1100,161
Kerala,Ernakulam,Koovapadi VFPCK,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,3200,3600,3400,159
Kerala,Ernakulam,Thiruvaniyoor  VFPCK,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,3000,3100,3000,159
Kerala,Malappuram,Manjeri,Capsicum,Other,FAQ,26/05/2024,8000,8100,8050,164
Punjab,Bhatinda,Goniana,Capsicum,Capsicum,FAQ,26/05/2024,400,600,500,164
Kerala,Kollam,Chathanoor,Cucumbar(Kheera),Other,FAQ,26/05/2024,5800,6200,6000,159
Kerala,Kollam,Kottarakkara,Cucumbar(Kheera),Other,FAQ,26/05/2024,5000,5000,5000,159
Maharashtra,Satara,Vai,Cucumbar(Kheera),Other,FAQ,26/05/2024,6000,9000,7500,159
West Bengal,Nadia,Chakdah,Sweet Pumpkin,Other,FAQ,26/05/2024,1400,1550,1500,173
Uttar Pradesh,Ghaziabad,Noida,Capsicum,Capsicum,FAQ,26/05/2024,1600,1750,1680,164
Uttar Pradesh,Saharanpur,Saharanpur,Capsicum,Capsicum,FAQ,26/05/2024,1400,1700,1550,164
Karnataka,Mysore,Mysore (Bandipalya),Seemebadnekai,Seemebadanekai,FAQ,26/05/2024,4800,5000,4900,176
Haryana,Palwal,Palwal,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,26/05/2024,600,1000,800,172
Odisha,Dhenkanal,Hindol,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,3800,4000,3900,159
Odisha,Kendrapara,Chatta Krushak Bazar,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,2500,3500,3000,159
Odisha,Khurda,Jatni,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,2000,3000,2500,159
Haryana,Mahendragarh-Narnaul,Mohindergarh,Tender Coconut,Other,Medium,26/05/2024,2500,3000,3000,200
Haryana,Mahendragarh-Narnaul,Narnaul,Tender Coconut,Other,Medium,26/05/2024,3500,5000,4500,200
Rajasthan,Alwar,Alwar (F&V),Pomegranate,Other,Large,26/05/2024,9000,13500,11000,190
Uttar Pradesh,Aligarh,Aligarh,Pomegranate,Pomogranate,Medium,26/05/2024,6800,6900,6850,190
Uttar Pradesh,Pillibhit,Vishalpur,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,1005,1035,1020,159
Uttar Pradesh,Raebarelli,Lalganj,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,950,1050,1000,159
